Unnamed: 0,BREED,GENDER_01,AGEATSURGERYmo,BODYWEIGHTKG,Taglia,BCS,YEAR,GENERATION,STEMSIZE,CUPSIZE,NECKSIZE,HEADSIZE,ALO,CUPRETROVERSION,STEMANTEVERSIONREAL,RECTUSFEMORISM.RELEASE,LUX_01,LUX_CR,mse
3762,2.861997022968694,0.7126676590104353,7.368554397821153,22.79299553445304,1.0,4.712667659010435,2014.436661704948,4.5746646819791295,-2.220446049250313e-16,3.0,5.287332340989565,0.0,41.42533531802087,18.563338295052176,30.242950798583657,0.5746646819791297,1,0.2873323409895647,1.998849722898007
3763,7.137128689777383,0.9314356551113088,13.312029751467495,45.50064368213536,1.0,5.931435655111309,2015.9314356551115,5.0,1.0,6.0,5.0,1.0,44.65717827555655,14.06856434488869,31.3,0.0,1,1.0,1.998849722898007
3764,9.070797621693814,0.0,9.00141551492921,31.95486581303769,1.0,4.867256803099116,2017.0,5.0,0.0,3.132743196900884,4.0,0.1327431969008839,44.33628401549558,26.469027212396465,17.899114795351323,0.2654863938017677,1,0.1327431969008838,1.998849722898007
3765,7.000317107227621,0.0,14.099316457753794,55.99707204326496,1.0,5.322970552461252,2011.000317107228,4.0,0.9998942975907928,5.999682892772379,4.0,0.999894297590793,40.00031710722762,15.000105702409208,39.4991332402445,0.0,1,1.0,1.998849722898007
3766,8.158643536863911,0.0,9.118116351439935,38.94390956912426,1.0,5.859773922810652,2013.262034694704,4.280452154378697,0.0,3.1402260771893484,4.0,0.1402260771893482,47.85977392281065,18.280452154378697,27.7,0.0,1,0.1402260771893481,1.998849722898007
3767,9.50305035467821,0.0,20.896337321453597,43.0,1.0,5.582824940886965,2004.5030503546784,3.0,1.0,4.748474822660895,4.582824940886965,0.582824940886965,41.00610070935642,5.165649881773929,18.901876749264453,0.0,1,0.417175059113035,1.998849722898007
3768,8.998214371506842,1.0,10.932073473229794,36.19696443156163,1.0,5.99970239525114,2014.998214371507,4.99970239525114,0.0002976047488596,3.0,4.0,0.0,49.99761916200912,18.00029760474886,27.697470359634693,0.0,1,0.0,1.998849722898007
3769,9.99996505672928,1.0,8.26691476388877,32.60000349432708,1.0,6.0,2020.9998602269168,5.99996505672928,2.999895170187842,4.0,4.0,1.0,40.00024460289504,16.000314489436473,2.8009958832154997,3.494327071928982e-05,1,0.9999650567292808,1.998849722898007
3770,6.997218876098444,1.0,8.81773801922673,29.27243534298777,0.7994437752196887,4.200556224780311,2016.79944377522,5.0,0.6016686743409341,3.598887550439377,4.0,0.7994437752196888,40.0,26.99165662829533,29.53510522193326,0.0,1,0.7994437752196886,1.998849722898007
3771,5.00000000000041,0.9999999999999416,110.69999999999906,31.99999999999971,1.0,5.0,2014.9999999999995,4.999999999999883,1.0000000000000586,2.9999999999999414,4.999999999999941,0.0,43.000000000000114,24.999999999999822,31.3,1.9999999999998828,1,5.861977570020828e-14,1.998849722898007
3772,9.99927530249044,1.0,14.827296878289337,26.903840896800677,1.0,5.0,2016.003623487548,5.000724697509561,2.997825907471316,2.001449395019123,4.0,0.0007246975095613,40.003623487547806,19.996376512452198,24.198768014233742,1.9985506049808768,1,0.0,1.998849722898007
