CASE_ID;BREED;GENDER_01;AGEATSURGERYmo;BODYWEIGHTKG;Taglia;BCS;INDICATIONFORTHR;HIPRL;YEAR;n_luxation;GENERATION;STEMSIZE;CUPSIZE;NECKSIZE;HEADSIZE;ALO;CUPRETROVERSION;STEMANTEVERSIONREAL;RECTUSFEMORISM.RELEASE;first_lux_days_after_thr;DIRECTION;LUX_01;LUX_CR
2673;10;1;6,7;24;1;5;2;L;2018;;6;MEDIUM;3;4;0;44;15;24,2;PARTIAL;;;0;1
2674;10;0;13,9333333333333;32,6;1;5;2;R;2018;;6;MEDIUM;3;4;0;46;20;17,7;NO;;;0;1
2675;9;0;38,9333333333333;39,7;1;6;2;L;2018;;6;MEDIUM;7;5;3;46;17;24,2;NO;;;0;1
2676;5;1;13,8;29,4;1;4;2;R;2018;;6;MEDIUM;3;4;0;45;20;24,2;PARTIAL;;;0;1
2677;1;0;9,3;15;0;4;2;L;2018;;6;X-SMALL;1;4;0;46;10;22,5;NO;;;0;1
2678;10;1;7,46666666666667;22;1;5;2;R;2018;;6;X-SMALL;1;4;0;44;15;24,2;NO;;;0;1
2679;11;0;6,2;25;1;4;2;R;2018;;6;MEDIUM;3;4;0;46;20;19,2;NO;;;0;1
2680;7;0;8,46666666666667;41,8;1;5;2;R;2018;;6;LARGE;7;5;3;46;18;17,7;NO;;;0;1
2681;8;0;8,46666666666667;30,7;1;5;2;R;2018;;6;LARGE;3;4;0;40;20;17,7;NO;;;0;1
2682;5;0;10,8666666666667;32,1;1;4;2;L;2018;;6;LARGE;6;4;1;48;13;24,2;NO;;;0;1
2683;2;0;6,53333333333333;21,1;1;5;2;L;2018;;6;SMALL;2;4;0;45;17;16,1;NO;;;0;1
2684;11;1;8,26666666666667;22;1;4;2;R;2018;;6;MEDIUM;3;4;0;46;20;22,5;NO;;;0;1
2685;10;1;8,36666666666667;27,4;1;5;2;R;2018;;6;MEDIUM;3;4;0;44;10;22,5;NO;;;0;1
2686;8;0;9,26666666666667;48;1;6;2;L;2018;;6;LARGE;7;5;3;48;25;11,5;NO;;;0;1
2687;7;1;9,73333333333333;42;1;5;2;L;2018;;6;LARGE;7;5;3;45;17;27,7;NO;;;0;1
2688;11;0;10,1666666666667;20,2;1;4;2;R;2018;;6;SMALL;2;4;0;38;15;1,7;NO;;;0;1
2689;3;0;24,8666666666667;45;1;5;2;L;2017;;5;LARGE;4;5;1;41;20;17,7;NO;;;0;1
2690;10;0;14,7;26;1;6;2;R;2017;;5;MEDIUM;4;4;1;42;12;22,5;PARTIAL;;;0;1
2691;3;1;11,1;41,4;1;8;2;R;2017;;5;MEDIUM;4;4;1;45;25;22,5;NO;;;0;1
2692;5;0;22,3666666666667;35,5;1;5;2;L;2017;;5;LARGE;4;4;1;46;25;27,7;YES;;;0;1
2693;12;1;11,9666666666667;37,7;1;7;2;L;2017;;5;MEDIUM;4;4;1;45;27;22,5;NO;;;0;1
2694;13;0;89,6333333333333;44,5;1;9;2;R;2017;;5;MEDIUM;4;4;1;45;15;17,7;NO;;;0;1
2695;1;0;6,43333333333333;14;0;4;2;R;2017;;5;X-SMALL;1;4;0;40;25;24,2;PARTIAL;;;0;1
2696;3;0;27,3333333333333;63;1;6;2;R;2017;;5;LARGE;8;5;0;50;15;20,8;NO;;;0;1
2697;1;0;7,9;16;0;4;2;L;2017;;5;X-SMALL;1;4;0;40;15;20,8;NO;;;0;1
2698;11;1;6,86666666666667;20;0;3;2;L;2017;;5;SMALL;2;4;0;38;15;17,7;NO;;;0;1
2699;12;0;8,8;31,2;1;5;2;R;2017;;5;MEDIUM;4;5;1;38;10;20,8;NO;;;0;1
2700;10;1;19,0333333333333;34,1;1;6;2;L;2017;;5;MEDIUM;4;4;1;45;20;27,7;NO;;;0;1
2701;11;1;8,46666666666667;19,7;0;5;2;R;2017;;5;SMALL;2;4;0;40;20;22,5;NO;;;0;1
2702;6;1;13,2333333333333;16,7;0;4;2;R;2017;;5;X-SMALL;1;3;0;40;15;17,7;NO;;;0;1
2703;10;0;9,96666666666667;32;1;5;2;L;2017;;5;MEDIUM;4;4;1;40;10;24,2;NO;;;0;1
2704;12;0;10,4333333333333;32,3;1;5;2;L;2017;;5;MEDIUM;6;5;1;40;10;24,2;NO;;;0;1
2705;10;1;20,9666666666667;34,5;1;6;2;R;2017;;5;MEDIUM;4;4;1;45;20;20,8;NO;;;0;1
2706;5;1;29,6333333333333;26,4;1;4;2;L;2017;;5;MEDIUM;4;4;1;40;16;17,7;NO;;;0;1
2707;12;0;9,06666666666667;37;1;5;2;R;2017;;5;LARGE;6;5;1;45;20;31,3;NO;;;0;1
2708;1;0;6,73333333333333;13,5;0;4;2;L;2017;;5;X-SMALL;1;3;0;40;20;27,7;NO;;;0;1
2709;11;1;11,6666666666667;22,4;1;5;2;R;2017;;5;SMALL;2;4;0;40;16;22,5;NO;;;0;1
2710;10;1;7,16666666666667;18,3;0;5;2;L;2017;;5;SMALL;2;4;0;40;15;24,2;PARTIAL;;;0;1
